ID,route_id,customer_number,depot_code,customer_code,direction,distance_km,time_distance_min
1,2946091,1,1000,138087,DEPOT->CUSTOMER,31.173,34.815
2,2946091,1,1000,138087,CUSTOMER->DEPOT,31.159,34.782
3,2946091,2,1000,138157,DEPOT->CUSTOMER,47.352,54.527
4,2946091,2,1000,138157,CUSTOMER->DEPOT,47.85,54.791
5,2946091,3,1000,26,DEPOT->CUSTOMER,29.805,31.416
6,2946091,3,1000,26,CUSTOMER->DEPOT,29.849,31.46
7,2946091,4,1000,478,DEPOT->CUSTOMER,63.689,65.835
8,2946091,4,1000,478,CUSTOMER->DEPOT,63.772,65.912
9,2946091,5,1000,921127,DEPOT->CUSTOMER,57.008,60.038
10,2946091,5,1000,921127,CUSTOMER->DEPOT,57.49,60.313
11,2946091,6,1000,15076,DEPOT->CUSTOMER,32.079,33.737
12,2946091,6,1000,15076,CUSTOMER->DEPOT,32.081,33.737
13,2946091,7,1000,921302,DEPOT->CUSTOMER,21.314,23.122
14,2946091,7,1000,921302,CUSTOMER->DEPOT,21.655,23.287
15,2946091,8,1000,454,DEPOT->CUSTOMER,33.116,34.771
16,2946091,8,1000,454,CUSTOMER->DEPOT,33.134,34.782
17,2946091,9,1000,1408,DEPOT->CUSTOMER,21.388,23.408
18,2946091,9,1000,1408,CUSTOMER->DEPOT,21.378,23.419
19,2946091,10,1000,922636,DEPOT->CUSTOMER,29.251,32.857
20,2946091,10,1000,922636,CUSTOMER->DEPOT,29.237,32.824
21,2946091,11,1000,141727,DEPOT->CUSTOMER,65.38,68.013
22,2946091,11,1000,141727,CUSTOMER->DEPOT,65.462,68.101
23,2946091,12,1000,15027,DEPOT->CUSTOMER,46.242,50.886
24,2946091,12,1000,15027,CUSTOMER->DEPOT,46.085,50.732
25,2946091,13,1000,137381,DEPOT->CUSTOMER,65.34,67.892
26,2946091,13,1000,137381,CUSTOMER->DEPOT,65.423,67.98
27,2946091,14,1000,1998,DEPOT->CUSTOMER,46.136,48.499
28,2946091,14,1000,1998,CUSTOMER->DEPOT,46.18,48.543
29,2946091,15,1000,922451,DEPOT->CUSTOMER,30.914,32.34
30,2946091,15,1000,922451,CUSTOMER->DEPOT,30.958,32.384
31,2946091,16,1000,1425,DEPOT->CUSTOMER,18.38,19.36
32,2946091,16,1000,1425,CUSTOMER->DEPOT,18.38,19.36
33,2946091,17,1000,1016,DEPOT->CUSTOMER,45.769,50.402
34,2946091,17,1000,1016,CUSTOMER->DEPOT,45.7,50.347
35,2946091,18,1000,131768,DEPOT->CUSTOMER,20.81,22.429
36,2946091,18,1000,131768,CUSTOMER->DEPOT,21.109,22.209
37,2946091,19,1000,131511,DEPOT->CUSTOMER,23.67,27.258
38,2946091,19,1000,131511,CUSTOMER->DEPOT,23.656,27.225
39,2946091,20,1000,132462,DEPOT->CUSTOMER,22.296,24.948
