ID,route_id,customer_code_from,customer_code_to,distance_km,time_distance_min
1,2946091,138087,138087,0.0,0.0
2,2946091,138087,138157,36.994,41.657
3,2946091,138087,26,59.916,63.723
4,2946091,138087,478,93.801,98.142
5,2946091,138087,921127,46.65,47.168
6,2946091,138087,15076,62.19,66.044
7,2946091,138087,921302,10.675,13.882
8,2946091,138087,454,63.227,67.078
9,2946091,138087,1408,11.185,15.059
10,2946091,138087,922636,1.922,1.947
11,2946091,138087,141727,95.491,100.331
12,2946091,138087,15027,43.553,44.176
13,2946091,138087,137381,95.451,100.21
14,2946091,138087,1998,53.47,72.622
15,2946091,138087,922451,61.025,64.658
16,2946091,138087,1425,12.779,15.411
17,2946091,138087,1016,43.982,44.671
18,2946091,138087,131768,10.691,13.673
19,2946091,138087,131511,7.512,7.722
20,2946091,138087,132462,12.227,12.375
21,2946091,138087,922334,32.446,36.102
22,2946091,138087,15221,95.577,100.595
23,2946091,138087,136836,60.237,64.35
24,2946091,138087,10825,7.777,8.03
25,2946091,138087,921872,12.498,17.149
26,2946091,138087,138142,95.517,99.627
27,2946091,138087,923142,19.621,42.482
28,2946091,138087,1118,42.82,43.45
29,2946091,138087,144680,77.622,81.763
30,2946091,138087,143559,95.497,99.968
31,2946091,138087,131332,95.124,99.473
32,2946091,138087,131334,95.847,100.43
33,2946091,138087,131336,84.505,91.234
34,2946091,138087,131337,96.057,100.705
35,2946091,138087,2038,60.72,64.339
36,2946091,138087,131469,43.9,44.836
37,2946091,138087,739,28.91,29.117
38,2946091,138087,738,46.857,47.223
39,2946091,138087,7521,60.858,64.405
40,2946091,138087,7930,36.677,41.327
41,2946091,138087,7935,46.503,46.871
42,2946091,138087,7945,46.283,47.388
43,2946091,138087,7959,96.136,100.232
44,2946091,138087,15203,43.573,44.385
45,2946091,138087,15208,10.785,13.651
46,2946091,138087,15253,11.61,15.147
47,2946091,138087,143115,61.066,65.34
48,2946091,138087,921336,11.051,14.762
49,2946091,138087,137670,48.917,49.39
50,2946091,138087,921733,60.935,64.548
51,2946091,138087,142110,96.428,101.31
52,2946091,138087,139187,60.34,64.493
53,2946091,138087,1934,93.338,97.482
54,2946091,138087,922075,44.071,44.726
55,2946091,138087,922805,44.174,44.836
56,2946091,138087,922327,10.969,13.574
57,2946091,138087,136510,44.017,44.429
58,2946091,138087,139168,21.13,22.264
59,2946091,138087,923589,45.944,46.849
60,2946091,138087,923590,10.922,13.728
61,2946091,138087,593,44.23,44.517
62,2946091,138087,1439,12.21,12.298
63,2946091,138087,922197,44.03,44.957
64,2946091,138087,1654,81.953,85.855
65,2946091,138087,131249,10.345,13.321
66,2946091,138087,131250,13.42,14.597
67,2946091,138087,131247,12.074,15.697
68,2946091,138087,131248,0.515,0.528
69,2946091,138087,921003,11.355,14.817
70,2946091,138087,922910,46.362,47.553
71,2946091,138087,132531,12.691,14.322
72,2946091,138087,144561,43.97,45.496
73,2946091,138087,1644,12.793,12.947
74,2946091,138087,606,64.509,68.211
75,2946091,138087,923951,95.48,99.583
76,2946091,138087,10538,95.481,99.583
77,2946091,138087,138650,64.198,68.277
78,2946091,138087,144439,60.943,64.746
79,2946091,138087,922957,30.754,33.726
80,2946091,138087,142995,12.499,13.607
81,2946091,138087,133394,37.355,42.02
82,2946091,138087,133395,45.864,46.167
83,2946091,138087,923124,10.683,13.992
84,2946091,138087,7634,16.527,18.062
85,2946091,138087,135717,5.255,5.357
86,2946091,138087,145229,31.008,34.936
87,2946091,138087,1387,58.853,62.348
88,2946091,138087,921035,60.697,64.24
89,2946091,138087,923716,41.098,45.826
90,2946091,138087,139432,28.21,31.086
91,2946091,138087,921932,43.331,43.615
92,2946091,138087,922911,101.151,106.667
93,2946091,138087,923700,4.542,4.609
94,2946091,138087,920968,9.49,10.461
95,2946091,138087,921042,95.208,99.583
96,2946091,138087,145171,59.78,63.228
97,2946091,138087,145160,34.568,37.543
98,2946091,138087,140401,8.433,8.866
99,2946091,138087,921231,46.639,47.135
100,2946091,138087,133893,95.241,99.836
101,2946091,138087,923322,11.542,12.276
102,2946091,138087,136297,41.312,44.495
103,2946091,138087,1676,43.634,44.286
104,2946091,138087,1805,33.058,36.146
105,2946091,138087,923762,95.311,99.858
106,2946091,138087,140023,61.463,65.241
107,2946091,138087,1665,95.439,100.177
108,2946091,138157,138087,36.998,41.635
109,2946091,138157,138157,0.0,0.0
110,2946091,138157,26,66.988,68.904
111,2946091,138157,478,99.175,101.42
112,2946091,138157,921127,18.038,18.513
113,2946091,138157,15076,67.259,69.19
114,2946091,138157,921302,28.808,34.199
115,2946091,138157,454,68.601,70.356
116,2946091,138157,1408,29.318,35.376
117,2946091,138157,922636,35.076,39.688
118,2946091,138157,141727,100.865,103.609
119,2946091,138157,15027,7.912,8.052
120,2946091,138157,137381,100.825,103.477
121,2946091,138157,1998,83.318,85.998
122,2946091,138157,922451,66.84,69.674
123,2946091,138157,1425,29.47,35.431
124,2946091,138157,1016,8.187,8.338
125,2946091,138157,131768,28.049,33.176
126,2946091,138157,131511,29.495,34.078
127,2946091,138157,132462,25.415,30.393
128,2946091,138157,922334,27.066,28.963
129,2946091,138157,15221,100.951,103.873
130,2946091,138157,136836,66.017,69.058
131,2946091,138157,10825,29.458,34.122
132,2946091,138157,921872,29.381,37.257
133,2946091,138157,138142,100.891,102.905
134,2946091,138157,923142,47.511,64.669
135,2946091,138157,1118,7.172,7.667
136,2946091,138157,144680,82.996,85.041
137,2946091,138157,143559,100.871,103.246
138,2946091,138157,131332,100.498,102.751
139,2946091,138157,131334,101.222,103.708
140,2946091,138157,131336,89.879,94.512
141,2946091,138157,131337,101.431,103.983
142,2946091,138157,2038,67.791,69.52
143,2946091,138157,131469,8.105,8.503
144,2946091,138157,739,11.944,19.041
145,2946091,138157,738,10.308,10.516
146,2946091,138157,7521,66.987,69.531
147,2946091,138157,7930,0.317,0.319
148,2946091,138157,7935,17.891,18.216
149,2946091,138157,7945,17.671,18.733
150,2946091,138157,7959,101.51,103.51
151,2946091,138157,15203,8.144,8.536
152,2946091,138157,15208,28.917,33.979
153,2946091,138157,15253,29.742,35.464
154,2946091,138157,143115,66.135,68.486
155,2946091,138157,921336,29.184,35.079
